model,registered_users_r2,registered_users_rmse,guest_users_r2,guest_users_rmse
lasso,0.6571550714577896,1434.3439087509744,0.4887556181245426,280.31959201018975
randomforest,0.8148985086461245,1053.9242260241674,0.6516167135890025,231.4023866953194
gradientboost,0.7731792971013355,1166.6639398928908,0.5513826899439982,262.58940046354166
xgboost,0.8111841256883002,1064.4461133853813,0.6113123500224654,244.42158103691256
